timestamp,player,piece,initial_pos,final_pos,notation
2026-02-05 12:24:22,white,pawn,"5,6","5,4",f2-f4
2026-02-05 12:24:26,black,pawn,"4,1","4,3",e7-e5
2026-02-05 12:24:29,white,pawn,"5,4","4,3",f4-e5
2026-02-05 12:24:32,black,pawn,"5,1","5,3",f7-f5
2026-02-05 12:24:35,white,pawn,"4,3","4,2",e5-e6
2026-02-05 12:24:39,black,bishop,"5,0","2,3",Bf8-c5
2026-02-05 12:24:42,white,pawn,"4,2","3,1",e6-d7
2026-02-05 12:24:53,black,king,"4,0","4,1",Ke8-e7
2026-02-05 12:24:55,white,pawn,"3,1","2,0",d7-c8
2026-02-05 12:25:02,black,queen,"3,0","3,5",Qd8-d3
2026-02-05 12:25:06,white,queen,"2,0","2,1",Qc8-c7
2026-02-05 12:25:11,black,knight,"1,0","3,1",Nb8-d7
2026-02-05 12:25:15,white,pawn,"4,6","3,5",e2-d3
2026-02-05 12:25:28,black,rook,"0,0","2,0",Ra8-c8
2026-02-05 12:25:32,white,queen,"3,7","4,6",Qd1-e2
2026-02-05 12:25:37,black,king,"4,1","5,0",Ke7-f8
2026-02-05 12:25:39,white,queen,"2,1","2,0",Qc7-c8
2026-02-05 12:25:48,black,king,"5,0","5,1",Kf8-f7
2026-02-05 12:25:51,white,queen,"4,6","4,0",Qe2-e8
2026-02-05 12:25:56,black,king,"5,1","5,2",Kf7-f6
2026-02-05 12:26:02,white,queen,"4,0","3,1",Qe8-d7
2026-02-05 12:26:04,black,bishop,"2,3","1,4",Bc5-b4
2026-02-05 12:26:08,white,queen,"2,0","5,0",Qc8-f8
2026-02-05 12:26:11,black,king,"5,2","4,3",Kf6-e5
2026-02-05 12:26:15,white,queen,"5,0","3,2",Qf8-d6
2026-02-05 12:26:21,black,bishop,"1,4","3,2",Bb4-d6
